"","Name","Pos","home","G","A1","A2","P","iHSC","iSC","iCF","C+/-","F+/-","G+/-","CF","FF","ZSO","ZSD","AB","FO_W","FO_L","HIT","HIT-","PN","PN-","TOI"
"holtbbr89","Braden.Holtby","G",1,0,0,0,0,0,0,0,13,7,1,57,36,16,14,0,0,0,0,0,0,0,50.9
"schmina91","Nate.Schmidt","D",1,0,0,0,0,0,0,4,11,5,0,22,13,4,5,1,0,0,0,2,0,0,15.8
"carlsjo90","John.Carlson","D",1,0,0,0,0,0,1,1,11,6,0,21,13,4,5,0,0,0,0,0,0,0,15.5
"orpikbr80","Brooks.Orpik","D",1,1,0,1,2,0,2,3,10,5,4,26,15,7,4,3,0,0,5,1,0,0,20.1
"laichbr83","Brooks.Laich","C",1,0,0,1,1,1,3,5,9,3,2,14,7,4,1,0,0,0,2,1,1,0,8.2
"ovechal85","Alex.Ovechkin","LR",1,1,0,1,2,2,5,8,8,10,1,23,18,8,5,0,0,0,2,1,0,0,14.3
"kuzneev92","Evgeny.Kuznetsov","C",1,1,1,0,2,0,1,2,8,10,3,22,18,8,5,0,10,11,0,0,0,0,15.7
"williju81","Justin.Williams","R",1,0,0,0,0,0,3,6,7,9,1,21,17,8,5,0,0,0,0,3,0,0,15.2
"wilsoto94","Tom.Wilson","R",1,0,0,0,0,1,1,4,5,1,0,14,8,1,3,0,0,0,8,1,0,1,14
"richami85","Mike.Richards","CL",1,0,0,0,0,0,0,2,5,0,0,16,7,7,4,2,4,5,0,1,0,1,13.1
"johanma90","Marcus.Johansson","C",1,0,0,0,0,0,0,0,5,1,0,11,6,0,2,0,4,2,0,1,0,0,11.4
"lattami91","Michael.Latta","C",1,0,1,0,1,1,3,4,4,-1,1,11,4,4,1,0,0,1,1,2,0,0,8.4
"orlovdm91","Dmitry.Orlov","D",1,0,2,0,2,0,2,2,3,3,4,19,13,7,4,3,0,0,1,3,0,0,17.6
"chimeja79","Jason.Chimera","L",1,0,0,0,0,0,2,4,3,0,0,12,7,1,3,0,0,0,0,0,0,0,12.9
"niskama86","Matt.Niskanen","D",1,0,0,0,0,0,1,2,-2,-1,-3,15,10,5,6,0,0,0,3,2,0,0,17.4
"oshietj86","T.J..Oshie","LR",1,1,0,0,1,2,5,5,-3,-2,-1,11,7,3,5,2,1,1,1,1,0,0,13.3
"backsni87","Nicklas.Backstrom","C",1,0,0,0,0,0,0,1,-6,-5,-2,9,5,3,6,0,2,7,3,1,0,0,12.3
"alzneka88","Karl.Alzner","D",1,0,0,0,0,1,1,1,-6,-3,-3,11,8,5,4,4,0,0,0,2,0,0,15.2
"burakan95","Andre.Burakovsky","CL",1,0,0,0,0,0,2,3,-7,-6,-2,7,4,1,2,0,0,0,1,0,0,0,14.3
"schleda87","David.Schlemko","D",0,0,0,0,0,0,0,4,8,5,-1,20,13,5,3,2,0,0,0,0,0,0,15.2
"moorejo90","John.Moore","D",0,0,0,1,1,0,1,4,8,7,0,24,17,5,3,1,0,0,1,1,0,0,17.5
"zajactr85","Travis.Zajac","C",0,1,1,0,2,2,3,5,4,-1,2,19,11,4,5,1,8,5,0,4,0,0,13
"palmiky91","Kyle.Palmieri","RL",0,1,0,1,2,0,2,5,3,-2,3,16,8,4,7,1,0,0,2,3,0,0,13
"bouchre93","Reid.Boucher","LR",0,1,2,0,3,0,1,3,1,-3,2,17,9,4,5,0,0,0,2,2,0,0,13.3
"kennety86","Tyler.Kennedy","RL",0,0,0,0,0,0,0,4,-1,1,-1,11,7,2,3,0,1,0,0,0,0,0,12.9
"josefja91","Jacob.Josefson","CL",0,0,0,0,0,1,1,2,-2,0,0,9,5,3,2,2,5,4,3,2,1,0,13.2
"kalinse91","Sergey.Kalinin","F",0,0,0,0,0,0,0,0,-4,-2,0,8,4,3,5,1,0,0,3,3,0,0,13.3
"blandjo94","Joseph.Blandisi","RC",0,0,0,0,0,1,2,2,-4,-1,-1,8,7,4,2,0,0,0,1,2,0,0,13
"ruututu83","Tuomo.Ruutu","LR",0,0,0,0,0,0,2,2,-5,0,-1,10,8,3,3,0,0,0,3,2,0,0,10
"henriad90","Adam.Henrique","CL",0,0,0,0,0,0,0,0,-6,-3,-2,9,8,4,6,0,8,9,0,1,0,0,14.7
"giontst83","Stephen.Gionta","CR",0,0,0,0,0,1,3,4,-7,-2,-2,11,8,4,4,1,5,3,0,1,0,0,11.8
"stemple83","Lee.Stempniak","R",0,0,0,0,0,1,1,1,-8,-5,-2,8,7,4,5,0,0,0,1,0,0,0,15.1
"helgese90","Seth.Helgeson","D",0,0,0,0,0,0,0,0,-9,-4,0,8,6,5,1,4,0,0,2,1,1,0,16.4
"tootojo83","Jordin.Tootoo","R",0,0,0,0,0,2,2,3,-10,-3,-1,6,5,3,3,1,0,0,2,0,0,0,9.4
"merrijo92","Jon.Merrill","D",0,0,0,0,0,0,0,0,-10,-5,1,10,7,5,1,3,0,0,1,2,0,1,17.4
"larssad92","Adam.Larsson","D",0,0,0,0,0,0,0,2,-11,-7,-1,15,9,4,12,2,0,0,1,3,0,0,18.7
"greenan82","Andrew.Greene","D",0,0,0,0,0,0,2,3,-12,-10,-1,11,6,4,10,2,0,0,0,0,0,0,16.9
"schneco86","Cory.Schneider","G",0,0,0,0,0,0,0,0,-13,-7,-1,44,29,14,16,0,0,0,0,0,0,0,50.9
