"","Name","Pos","home","G","A1","A2","P","iHSC","iSC","iCF","C+/-","F+/-","G+/-","CF","FF","ZSO","ZSD","AB","FO_W","FO_L","HIT","HIT-","PN","PN-","TOI"
"hornqpa87","Patric.Hornqvist","R",1,1,0,0,1,0,2,3,6,4,0,18,14,10,6,1,0,0,2,6,0,0,18.1
"crosbsi87","Sidney.Crosby","C",1,0,0,0,0,1,2,4,4,2,0,17,13,11,8,0,15,7,1,4,0,0,18.9
"kunitch79","Chris.Kunitz","L",1,0,0,0,0,0,2,3,1,1,0,12,10,4,4,0,0,0,3,3,0,0,14.7
"poulide94","Derrick.Pouliot","D",1,0,0,0,0,0,0,4,0,-2,2,15,13,3,4,0,0,0,0,0,1,1,13.2
"shearco92","Conor.Sheary","F",1,0,0,1,1,0,0,1,-2,-3,0,13,10,7,5,0,0,0,0,3,0,0,15
"rustxbr92","Bryan.Rust","R",1,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,2,1,0,0,0,0,0,0.3
"malkiev86","Evgeni.Malkin","CR",1,0,0,0,0,0,1,2,-4,-3,0,12,11,8,1,0,2,6,1,3,0,0,15.5
"kesseph87","Phil.Kessel","R",1,0,0,1,1,1,3,4,-12,-9,0,11,10,6,6,0,0,0,1,0,1,0,17
"lovejbe84","Ben.Lovejoy","D",1,0,0,0,0,0,0,2,-16,-9,0,8,7,3,10,1,0,0,3,3,0,0,16.1
"daleytr83","Trevor.Daley","D",1,0,1,0,1,0,0,0,-16,-12,2,15,13,3,12,0,0,0,0,4,0,0,23.4
"cullema76","Matt.Cullen","LC",1,0,1,0,1,0,0,0,-20,-14,1,4,4,2,16,1,8,12,1,3,0,0,15.2
"kuhnhto92","Tom.Kuhnhackl","LR",1,1,0,0,1,0,0,1,-21,-15,1,1,1,1,11,0,0,0,0,3,0,0,8.9
"colexia89","Ian.Cole","D",1,0,0,0,0,0,0,1,-22,-13,-1,8,6,5,13,2,0,0,2,10,0,0,19.3
"fehrxer85","Eric.Fehr","C",1,0,0,0,0,1,1,2,-23,-16,1,7,6,4,16,2,0,1,4,0,0,1,15.1
"letankr87","Kris.Letang","D",1,0,0,1,1,0,2,5,-24,-20,-1,14,11,12,18,5,0,0,1,10,1,1,26.6
"dumoubr91","Brian.Dumoulin","D",1,0,0,0,0,0,0,2,-24,-20,0,9,7,6,15,1,0,0,3,3,0,0,18.7
"boninni88","Nick.Bonino","CL",1,0,1,0,1,0,0,0,-27,-19,0,8,7,2,14,3,10,11,1,1,0,0,17.1
"hagelca88","Carl.Hagelin","L",1,1,0,0,1,1,2,2,-28,-21,0,7,6,2,16,1,0,0,2,2,1,0,18.6
"murrama94","Matthew.Murray","G",1,0,0,0,0,0,0,0,-49,-36,1,36,30,18,36,0,0,0,0,0,0,0,60
"holtbbr89","Braden.Holtby","G",0,0,0,0,0,0,0,0,45,33,-2,81,63,32,18,0,0,0,0,0,0,0,57.7
"carlsjo90","John.Carlson","D",0,0,0,1,1,0,3,13,34,25,0,46,35,22,5,0,0,0,2,1,0,1,27.6
"ovechal85","Alex.Ovechkin","LR",0,1,1,0,2,2,10,18,31,23,1,42,32,20,5,1,0,0,9,3,0,0,25.2
"johanma90","Marcus.Johansson","C",0,0,0,0,0,1,5,7,28,23,0,38,30,18,4,1,0,1,9,1,0,1,19.8
"backsni87","Nicklas.Backstrom","C",0,0,0,1,1,1,1,2,22,18,1,32,26,16,5,1,13,10,2,2,0,0,21.1
"orlovdm91","Dmitry.Orlov","D",0,0,0,0,0,0,0,3,21,19,0,29,25,14,2,1,0,0,2,1,0,0,13.8
"kuzneev92","Evgeny.Kuznetsov","C",0,0,0,0,0,1,6,7,21,17,-1,34,28,13,4,0,12,9,4,2,0,0,18.6
"oshietj86","T.J..Oshie","LR",0,0,0,0,0,2,3,3,19,15,1,32,26,15,6,0,4,2,1,3,0,1,20.4
"chimeja79","Jason.Chimera","L",0,0,0,0,0,0,1,3,16,8,-1,22,13,8,3,0,0,0,1,4,0,0,13
"burakan95","Andre.Burakovsky","CL",0,0,0,0,0,1,3,5,15,10,-1,21,15,11,3,0,0,0,2,0,0,0,14.1
"williju81","Justin.Williams","R",0,1,0,0,1,1,4,5,13,13,0,23,21,8,5,0,0,0,0,1,2,0,13.4
"niskama86","Matt.Niskanen","D",0,0,1,0,1,0,0,2,12,10,-1,28,24,11,11,0,0,0,3,2,0,0,25.2
"schmina91","Nate.Schmidt","D",0,0,0,0,0,0,0,5,9,3,-1,17,10,6,3,1,0,0,3,1,0,0,13.7
"chornta87","Taylor.Chorney","D",0,0,0,0,0,0,0,4,7,3,0,15,9,5,3,0,0,0,2,0,0,0,9.7
"richami85","Mike.Richards","CL",0,0,0,0,0,0,2,3,6,1,-1,14,8,7,5,0,5,9,4,0,0,0,12.1
"winnida85","Daniel.Winnik","C",0,0,0,0,0,0,0,0,0,-1,0,7,5,0,4,0,0,0,3,0,1,0,11.6
"beaglja85","Jay.Beagle","RC",0,0,0,0,0,2,2,2,0,0,0,5,4,0,4,0,3,5,1,0,0,1,8.2
"alzneka88","Karl.Alzner","D",0,0,0,0,0,0,0,2,-1,0,-1,17,16,8,11,1,0,0,7,2,0,0,19.9
"wilsoto94","Tom.Wilson","R",0,0,0,0,0,0,1,1,-3,-3,0,4,3,0,3,0,0,0,3,2,0,0,8.9
